Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.1020        -5153.841    -5153.841        0.000     0.0
0.1025        -5153.841    -5153.841        0.000     0.0
0.1030        -5153.841    -5153.841        0.000     0.0
0.1035        -5153.841    -5153.841        0.000     0.0
0.1040        -5153.841    -5153.841        0.000     0.0
0.1045        -5153.841    -5153.841        0.000     0.0
0.1050        -5153.841    -5153.841        0.000     0.0
0.1055        -5153.841    -5153.841        0.000     0.0
0.1060        -5153.841    -5153.841        0.000     0.0
0.1065        -5153.841    -5153.841        0.000     0.0
0.1070        -5153.841    -5153.841        0.000     0.0
0.1075        -5153.841    -5153.841        0.000     0.0
0.1080        -5153.841    -5153.841        0.000     0.0
0.1085        -5153.841    -5153.841        0.000     0.0
0.1090        -5153.841    -5153.841        0.000     0.0
0.1095        -5153.841    -5153.841        0.000     0.0
0.1100        -5153.841    -5153.841        0.000     0.0
0.1105        -5153.841    -5153.841        0.000     0.0
0.1110        -5153.841    -5153.841        0.000     0.0
0.1115        -5153.841    -5153.841        0.000     0.0
0.1120        -5153.841    -5153.841        0.000     0.0
0.1125        -5153.841    -5153.841        0.000     0.0
0.1130        -5153.841    -5153.841        0.000     0.0
0.1135        -5153.841    -5153.841        0.000     0.0
0.1140        -5153.841    -5153.841        0.000     0.0
0.1145        -5153.841    -5153.841        0.000     0.0
0.1150        -5153.841    -5153.841        0.000     0.0
0.1155        -5153.841    -5153.841        0.000     0.0
0.1160        -5153.841    -5153.841        0.000     0.0
0.1165        -5153.841    -5153.841        0.000     0.0
0.1170        -5153.841    -5153.841        0.000     0.0
0.1175        -5153.841    -5153.841        0.000     0.0
0.1180        -5153.841    -5153.841        0.000     0.0
0.1185        -5153.841    -5153.841        0.000     0.0
0.1190        -5153.841    -5153.841        0.000     0.0
0.1195        -5153.841    -5153.841        0.000     0.0
0.1200        -5153.841    -5153.841        0.000     0.0
0.1205        -5153.841    -5153.841        0.000     0.0
0.1210        -5153.841    -5153.841        0.000     0.0
0.1215        -5153.841    -5153.841        0.000     0.0
