 #Reference     Predicted       Error     structure_no 
   0.00247700    0.92484368    0.92236668             7
   0.01562600    0.08122998    0.06560398             7
  -0.00000000   -0.00000042    0.00000042             7
   0.00217200    0.10662845    0.10445645             7
  -0.01505500    1.43583016    1.45088516             7
   0.00000000    0.00000034    0.00000034             7
  -0.00594400   -0.83479018    0.82884618             7
   0.01106800    0.56729205    0.55622405             7
  -0.00000000    0.00000044    0.00000044             7
  -0.00262300   -0.04819365    0.04557065             7
  -0.00702800    1.24784991    1.25487791             7
   0.00000000    0.00000043    0.00000043             7
  -0.00217200   -0.10662604    0.10445404             7
   0.01505500   -1.43580219    1.45085719             7
  -0.00000000    0.00000140    0.00000140             7
  -0.00247700   -0.92485044    0.92237344             7
  -0.01562600   -0.08127044    0.06564444             7
   0.00000000   -0.00000042    0.00000042             7
   0.00262300    0.04819076    0.04556776             7
   0.00702800   -1.24782546    1.25485346             7
  -0.00000000   -0.00000069    0.00000069             7
   0.00594400    0.83478704    0.82884304             7
  -0.01106800   -0.56731550    0.55624750             7
   0.00000000    0.00000214    0.00000214             8
  -0.00000000    0.00002312    0.00002312             8
  -0.00000000    0.00001457    0.00001457             8
   0.00449100   -0.15008399    0.15457499             8
   0.00154100   -0.22893932    0.23048032             8
   0.00293600   -0.01806468    0.02100068             8
  -0.00449100    0.15010440    0.15459540             8
  -0.00154100    0.22892741    0.23046841             8
  -0.00293600    0.01801497    0.02095097             8
  -0.00428900   -0.00634962    0.00206062             8
   0.00000400   -0.09084783    0.09085183             8
   0.00031200   -0.06419802    0.06451002             8
   0.00428900    0.00636478    0.00207578             8
  -0.00000400    0.09082619    0.09083019             8
  -0.00031200    0.06426990    0.06458190             8
  -0.00307600   -0.09474072    0.09166472             8
   0.01542900    1.59486891    1.57943991             8
   0.00240800    0.38526886    0.38286086             8
  -0.00155000    0.47041860    0.47196860             8
   0.01182300    0.96662747    0.95480447             8
   0.00092500    0.96083885    0.95991385             8
  -0.00658300   -0.78855528    0.78197228             8
   0.01203800    0.91843218    0.90639418             8
  -0.00290400    0.39626292    0.39916692             8
  -0.00566400    0.46559561    0.47125961             8
   0.01115100    1.24265601    1.23150501             8
  -0.00078000   -0.26663455    0.26585455             8
   0.00155000   -0.47043124    0.47198124             8
  -0.01182300   -0.96663270    0.95480970             8
  -0.00092500   -0.96085727    0.95993227             8
   0.00307600    0.09473659    0.09166059             8
  -0.01542900   -1.59485073    1.57942173             8
  -0.00240800   -0.38524886    0.38284086             8
   0.00566400   -0.46561258    0.47127658             8
  -0.01115100   -1.24265207    1.23150107             8
   0.00078000    0.26663326    0.26585326             8
   0.00658300    0.78855131    0.78196831             8
  -0.01203800   -0.91843864    0.90640064             8
   0.00290400   -0.39629998    0.39920398             8
  -0.00333600   -0.03158615    0.02825015             9
   0.00221800   -0.10008309    0.10230109             9
   0.00023300    0.10631426    0.10608126             9
  -0.00025300    0.10246162    0.10271462             9
  -0.00399900    0.02266517    0.02666417             9
   0.00023300    0.10632178    0.10608878             9
   0.00358900   -0.07086188    0.07445088             9
   0.00178000    0.07739542    0.07561542             9
   0.00023300    0.10633185    0.10609885             9
  -0.00333600   -0.03158404    0.02824804             9
  -0.00221800    0.10007471    0.10229271             9
  -0.00023300   -0.10633101    0.10609801             9
   0.00358900   -0.07086212    0.07445112             9
  -0.00178000   -0.07739624    0.07561624             9
  -0.00023300   -0.10631129    0.10607829             9
  -0.00025300    0.10247560    0.10272860             9
   0.00399900   -0.02268285    0.02668185             9
  -0.00023300   -0.10632131    0.10608831             9
  -0.01169800    0.49172671    0.50342471             9
   0.00000000    0.00000238    0.00000238             9
   0.00000000    0.00002237    0.00002237             9
   0.00584900   -0.24587413    0.25172313             9
  -0.01013100    0.42584138    0.43597238             9
   0.00000000    0.00001358    0.00001358             9
   0.00584900   -0.24585346    0.25170246             9
   0.01013100   -0.42583732    0.43596832             9
   0.00000000   -0.00001183    0.00001183             9
   0.00349200   -0.00927024    0.01276224             9
  -0.00277800    0.49358341    0.49636141             9
  -0.00518700    0.02290223    0.02808923             9
   0.00066000   -0.42280482    0.42346482             9
   0.00441300   -0.25482149    0.25923449             9
  -0.00518700    0.02293366    0.02812066             9
  -0.00415200    0.43207355    0.43622555             9
  -0.00163500   -0.23874474    0.23710974             9
  -0.00518700    0.02292923    0.02811623             9
   0.00349200   -0.00926959    0.01276159             9
   0.00277800   -0.49357560    0.49635360             9
   0.00518700   -0.02289621    0.02808321             9
  -0.00415200    0.43206432    0.43621632             9
   0.00163500    0.23875095    0.23711595             9
   0.00518700   -0.02291535    0.02810235             9
   0.00066000   -0.42280897    0.42346897             9
  -0.00441300    0.25480511    0.25921811             9
   0.00518700   -0.02291002    0.02809702             9
  -0.00104900    0.22617754    0.22722654             9
  -0.00361100   -0.54609125    0.54248025             9
   0.00276000   -0.17834794    0.18110794             9
   0.00365200    0.35980508    0.35615308             9
   0.00089700    0.46892927    0.46803227             9
   0.00276000   -0.17830644    0.18106644             9
  -0.00260300   -0.58600337    0.58340037             9
   0.00271400    0.07716516    0.07445116             9
   0.00276000   -0.17833806    0.18109806             9
  -0.00104900    0.22611960    0.22716860             9
   0.00361100    0.54612417    0.54251317             9
  -0.00276000    0.17830619    0.18106619             9
  -0.00260300   -0.58602389    0.58342089             9
  -0.00271400   -0.07717150    0.07445750             9
  -0.00276000    0.17830657    0.18106657             9
   0.00365200    0.35988512    0.35623312             9
  -0.00089700   -0.46895316    0.46805616             9
  -0.00276000    0.17833032    0.18109032             9
  -0.00639600    0.51518021    0.52157621             9
  -0.00000000   -0.00000778    0.00000778             9
   0.00000000    0.00001216    0.00001216             9
   0.00319800   -0.25762468    0.26082268             9
  -0.00553900    0.44616902    0.45170802             9
   0.00000000   -0.00005738    0.00005738             9
   0.00319800   -0.25755851    0.26075651             9
   0.00553900   -0.44616711    0.45170611             9
   0.00000000    0.00002976    0.00002976             9
  -0.00905100   -0.08387210    0.07482110             9
  -0.00748200    0.24850712    0.25598912             9
  -0.00263500    0.23613760    0.23877260             9
   0.01100500   -0.17335164    0.18435664             9
  -0.00409700   -0.19690744    0.19281044             9
  -0.00263500    0.23619948    0.23883448             9
  -0.00195400    0.25715517    0.25910917             9
   0.01157900   -0.05165941    0.06323841             9
  -0.00263500    0.23614692    0.23878192             9
  -0.00905100   -0.08380878    0.07475778             9
   0.00748200   -0.24852285    0.25600485             9
   0.00263500   -0.23617047    0.23880547             9
  -0.00195400    0.25715330    0.25910730             9
  -0.01157900    0.05165363    0.06323263             9
   0.00263500   -0.23620166    0.23883666             9
   0.01100500   -0.17322652    0.18423152             9
   0.00409700    0.19691103    0.19281403             9
   0.00263500   -0.23617380    0.23880880             9
  -0.00010900   -0.04632879    0.04621979             9
   0.00000000   -0.00003629    0.00003629             9
   0.00000000    0.00000376    0.00000376             9
   0.00005500    0.02315812    0.02310312             9
  -0.00009500   -0.04011133    0.04001633             9
   0.00000000   -0.00003087    0.00003087             9
   0.00005500    0.02318553    0.02313053             9
   0.00009500    0.04009057    0.03999557             9
   0.00000000   -0.00000423    0.00000423             9
  -0.00638300   -0.43329045    0.42690745             9
   0.00000000    0.00001674    0.00001674             9
   0.00000000    0.00001322    0.00001322             9
   0.00319200    0.21666247    0.21347047             9
  -0.00552800   -0.37526601    0.36973801             9
   0.00000000   -0.00004597    0.00004597             9
   0.00319200    0.21663141    0.21343941             9
   0.00552800    0.37520843    0.36968043             9
   0.00000000    0.00000480    0.00000480             9
  -0.00154900   -0.18885483    0.18730583             9
  -0.00067100   -0.74982167    0.74915067             9
   0.00148900    0.05689355    0.05540455             9
   0.00135500    0.74382360    0.74246860             9
  -0.00100600    0.21132831    0.21233431             9
   0.00148900    0.05684689    0.05535789             9
   0.00019400   -0.55492639    0.55512039             9
   0.00167700    0.53849605    0.53681905             9
   0.00148900    0.05687926    0.05539026             9
  -0.00154900   -0.18887813    0.18732913             9
   0.00067100    0.74985896    0.74918796             9
  -0.00148900   -0.05686573    0.05537673             9
   0.00019400   -0.55497017    0.55516417             9
  -0.00167700   -0.53844051    0.53676351             9
  -0.00148900   -0.05689205    0.05540305             9
   0.00135500    0.74377695    0.74242195             9
   0.00100600   -0.21132416    0.21233016             9
  -0.00148900   -0.05685892    0.05536992             9
   0.00101500    0.44816703    0.44715203             9
   0.00055900    0.33365641    0.33309741             9
  -0.01494100   -0.60966203    0.59472103             9
  -0.00099100   -0.51304083    0.51204983             9
   0.00059900    0.22128405    0.22068505             9
  -0.01494100   -0.60968985    0.59474885             9
  -0.00002400    0.06490161    0.06492561             9
  -0.00115800   -0.55493488    0.55377688             9
  -0.01494100   -0.60969697    0.59475597             9
   0.00101500    0.44815316    0.44713816             9
  -0.00055900   -0.33366459    0.33310559             9
   0.01494100    0.60966198    0.59472098             9
  -0.00002400    0.06489758    0.06492158             9
   0.00115800    0.55498166    0.55382366             9
   0.01494100    0.60971513    0.59477413             9
  -0.00099100   -0.51306363    0.51207263             9
  -0.00059900   -0.22125823    0.22065923             9
   0.01494100    0.60968412    0.59474312             9
  -0.00236700   -0.63266920    0.63030220             9
   0.00041700    0.68126493    0.68084793             9
   0.01063200    0.62385173    0.61321973             9
   0.00082200   -0.27363933    0.27446133             9
  -0.00225800   -0.88856022    0.88630222             9
   0.01063200    0.62386207    0.61323007             9
   0.00154500    0.90634156    0.90479656             9
   0.00184100    0.20727761    0.20543661             9
   0.01063200    0.62384657    0.61321457             9
  -0.00236700   -0.63266495    0.63029795             9
  -0.00041700   -0.68128103    0.68086403             9
  -0.01063200   -0.62384825    0.61321625             9
   0.00154500    0.90630279    0.90475779             9
  -0.00184100   -0.20727486    0.20543386             9
  -0.01063200   -0.62384301    0.61321101             9
   0.00082200   -0.27368758    0.27450958             9
   0.00225800    0.88856530    0.88630730             9
  -0.01063200   -0.62383903    0.61320703             9
   0.00167500   -0.04353737    0.04521237             9
  -0.00953500   -0.60568452    0.59614952             9
  -0.00811500   -0.76438899    0.75627399             9
   0.00742000    0.54630106    0.53888106             9
   0.00621800    0.26515218    0.25893418             9
  -0.00811500   -0.76437589    0.75626089             9
  -0.00909500   -0.50278702    0.49369202             9
   0.00331700    0.34049672    0.33717972             9
  -0.00811500   -0.76437246    0.75625746             9
   0.00167500   -0.04350592    0.04518092             9
   0.00953500    0.60565729    0.59612229             9
   0.00811500    0.76439720    0.75628220             9
  -0.00909500   -0.50276718    0.49367218             9
  -0.00331700   -0.34051496    0.33719796             9
   0.00811500    0.76433060    0.75621560             9
   0.00742000    0.54626668    0.53884668             9
  -0.00621800   -0.26510810    0.25889010             9
   0.00811500    0.76439099    0.75627599             9
   0.00102600   -0.37997640    0.38100240             9
   0.00336000    0.89735517    0.89399517             9
  -0.00960700   -0.64735009    0.63774309             9
  -0.00342300   -0.58713128    0.58370828             9
  -0.00079100   -0.77777354    0.77698254             9
  -0.00960700   -0.64732049    0.63771349             9
   0.00239700    0.96708685    0.96468985             9
  -0.00256900   -0.11957656    0.11700756             9
  -0.00960700   -0.64734831    0.63774131             9
   0.00102600   -0.38001654    0.38104254             9
  -0.00336000   -0.89731463    0.89395463             9
   0.00960700    0.64733048    0.63772348             9
   0.00239700    0.96717033    0.96477333             9
   0.00256900    0.11957399    0.11700499             9
   0.00960700    0.64733911    0.63773211             9
  -0.00342300   -0.58716745    0.58374445             9
   0.00079100    0.77774541    0.77695441             9
   0.00960700    0.64732674    0.63771974             9
   0.00149400    0.49503880    0.49354480             9
  -0.00664300   -0.25289812    0.24625512             9
   0.00699800    0.74872840    0.74173040             9
   0.00500600   -0.02847014    0.03347614             9
   0.00461500    0.55516200    0.55054700             9
   0.00699800    0.74872878    0.74173078             9
  -0.00650000   -0.46655886    0.46005886             9
   0.00202700   -0.30229820    0.30432520             9
   0.00699800    0.74870471    0.74170671             9
   0.00149400    0.49502977    0.49353577             9
   0.00664300    0.25291016    0.24626716             9
  -0.00699800   -0.74872639    0.74172839             9
  -0.00650000   -0.46653086    0.46003086             9
  -0.00202700    0.30227263    0.30429963             9
  -0.00699800   -0.74871449    0.74171649             9
   0.00500600   -0.02850724    0.03351324             9
  -0.00461500   -0.55513062    0.55051562             9
  -0.00699800   -0.74871027    0.74171227             9
   0.00023400    0.78654173    0.78630773             9
   0.00120000   -0.08014054    0.08134054             9
  -0.01537000   -0.50359046    0.48822046             9
  -0.00115600   -0.32388221    0.32272621             9
  -0.00039700    0.72124173    0.72163873             9
  -0.01537000   -0.50358087    0.48821087             9
   0.00092200   -0.46266921    0.46359121             9
  -0.00080200   -0.64113005    0.64032805             9
  -0.01537000   -0.50358940    0.48821940             9
   0.00023400    0.78656348    0.78632948             9
